import time: self [us] | cumulative | imported package
import time:       624 |        624 |   _io
import time:        62 |         62 |   marshal
import time:       494 |        494 |   posix
import time:       813 |       1992 | _frozen_importlib_external
import time:      3090 |       3090 |   time
import time:       827 |       3916 | zipimport
import time:       210 |        210 |     _codecs
import time:       414 |        623 |   codecs
import time:      2347 |       2347 |   encodings.aliases
import time:      3475 |       6444 | encodings
import time:      1166 |       1166 | encodings.utf_8
import time:       188 |        188 | _signal
import time:        53 |         53 |     _abc
import time:       314 |        367 |   abc
import time:       529 |        895 | io
import time:        74 |         74 |       _stat
import time:       304 |        377 |     stat
import time:      1216 |       1216 |     _collections_abc
import time:       511 |        511 |       genericpath
import time:       133 |        643 |     posixpath
import time:       789 |       3024 |   os
import time:       110 |        110 |   _sitebuiltins
import time:       844 |        844 |   encodings.utf_8_sig
import time:      1399 |       1399 |   types
import time:      1708 |       1708 |       warnings
import time:      1163 |       2870 |     importlib
import time:       901 |        901 |     importlib._abc
import time:       218 |       3988 |   importlib.util
import time:       195 |        195 |   importlib.machinery
import time:      1373 |       1373 |   sitecustomize
import time:      5879 |      16808 | site
import time:       363 |        363 |   app
import time:      1181 |       1181 |     starlette
import time:       877 |        877 |       __future__
import time:      1294 |       2171 |     starlette.status
import time:       125 |        125 |           _operator
import time:       898 |       1022 |         operator
import time:       163 |        163 |             itertools
import time:      1679 |       1679 |             keyword
import time:       933 |        933 |             reprlib
import time:       117 |        117 |             _collections
import time:      2214 |       5105 |           collections
import time:        80 |         80 |           _functools
import time:      1448 |       6632 |         functools
import time:      2929 |      10581 |       enum
import time:       887 |        887 |         collections.abc
import time:       739 |        739 |         copyreg
import time:      1461 |       1461 |         contextlib
import time:       127 |        127 |             _sre
import time:       975 |        975 |               re._constants
import time:      1373 |       2347 |             re._parser
import time:       586 |        586 |             re._casefix
import time:      1127 |       4185 |           re._compiler
import time:      2310 |       6495 |         re
import time:        60 |         60 |         _typing
import time:      5128 |      14767 |       typing
import time:       620 |        620 |               concurrent
import time:       900 |        900 |                         token
import time:        70 |         70 |                         _tokenize
import time:      2969 |       3938 |                       tokenize
import time:      1185 |       5123 |                     linecache
import time:      2582 |       2582 |                     textwrap
import time:      1430 |       9134 |                   traceback
import time:      1066 |       1066 |                     _weakrefset
import time:      1953 |       3018 |                   weakref
import time:       109 |        109 |                     _string
import time:      1533 |       1641 |                   string
import time:      1822 |       1822 |                   threading
import time:        65 |         65 |                   atexit
import time:      3634 |      19313 |                 logging
import time:      1456 |      20769 |               concurrent.futures._base
import time:       717 |      22105 |             concurrent.futures
import time:        90 |         90 |             errno
import time:      2038 |       2038 |               _heapq
import time:      1364 |       3401 |             heapq
import time:      2877 |       2877 |               _socket
import time:      2254 |       2254 |                 math
import time:      2369 |       2369 |                 select
import time:      2053 |       6675 |               selectors
import time:      9643 |       9643 |               array
import time:      2618 |      21812 |             socket
import time:       138 |        138 |                 _locale
import time:      2502 |       2640 |               locale
import time:      2890 |       2890 |               signal
import time:      4964 |       4964 |               fcntl
import time:       221 |        221 |               msvcrt
import time:      2214 |       2214 |               _posixsubprocess
import time:      2012 |      14939 |             subprocess
import time:     12114 |      12114 |               _ssl
import time:      2064 |       2064 |                   _struct
import time:       785 |       2848 |                 struct
import time:      3888 |       3888 |                 binascii
import time:      1096 |       7831 |               base64
import time:     18068 |      38011 |             ssl
import time:      1113 |       1113 |             asyncio.constants
import time:      3992 |       3992 |                   _ast
import time:     11175 |      15166 |                 ast
import time:      5101 |       5101 |                     _opcode
import time:      2730 |       7830 |                   opcode
import time:      2422 |      10251 |                 dis
import time:      5963 |      31379 |               inspect
import time:       789 |      32168 |             asyncio.coroutines
import time:      2526 |       2526 |                 _contextvars
import time:      1318 |       3844 |               contextvars
import time:       806 |        806 |               asyncio.format_helpers
import time:       819 |        819 |                 asyncio.base_futures
import time:       947 |        947 |                 asyncio.exceptions
